,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,East London,-33.02,27.91,54.88,62,91,32.01,ZA,1597791186
83,Yellowknife,62.46,-114.35,64.4,77,75,9.17,CA,1597791187
84,Kloulklubed,7.04,134.26,77.0,94,75,8.72,PW,1597791188
85,Marawi,8.0,124.29,73.99,93,94,5.99,PH,1597791189
86,Saskylakh,71.92,114.08,42.4,82,100,12.33,RU,1597791190
87,Krasnohrad,49.38,35.44,68.94,53,38,5.48,UA,1597791191
88,Dikson,73.51,80.55,53.58,70,1,7.45,RU,1597791193
89,Hilo,19.73,-155.09,82.4,65,90,7.11,US,1597791194
90,Ketchikan,55.34,-131.65,57.2,87,90,9.17,US,1597791195
91,Sioux Lookout,50.1,-91.92,64.4,77,75,3.36,CA,1597791196
92,Lavrentiya,65.58,-171.0,53.02,69,99,4.05,RU,1597791160
93,Khatanga,71.97,102.5,49.32,67,35,14.79,RU,1597791199
94,Utinga,-5.82,-35.4,77.0,88,40,6.93,BR,1597791200
95,Clyde River,70.47,-68.59,55.4,71,75,6.93,CA,1597791201
96,Río Cuarto,-33.13,-64.35,55.4,26,92,13.87,AR,1597791075
97,Vila Velha,-20.33,-40.29,78.01,78,20,10.29,BR,1597791203
98,Bismarck,46.81,-100.78,98.6,27,1,9.17,US,1597791182
99,Xiongyue,40.18,122.12,71.55,94,98,13.0,CN,1597791205
100,Bluff,-46.6,168.33,49.33,77,100,10.87,NZ,1597791206
101,Makat,47.65,53.35,65.55,34,3,5.7,KZ,1597791207
102,Suntar,62.14,117.63,54.1,60,35,3.78,RU,1597791208
103,Iquique,-20.22,-70.14,62.6,59,40,12.75,CL,1597791173
104,Barrow,71.29,-156.79,53.6,76,20,13.87,US,1597791211
105,Cap Malheureux,-19.98,57.61,71.01,69,1,7.0,MU,1597791212
106,Arman',59.7,150.17,50.68,89,100,8.63,RU,1597791213
107,San Cristobal,7.77,-72.22,82.4,69,40,11.41,VE,1597791214
108,Buchanan,5.88,-10.05,77.0,94,75,3.36,LR,1597791215
109,Tangi,34.3,71.65,86.0,70,75,9.17,PK,1597791216
110,Dingle,11.0,122.67,77.32,88,100,2.44,PH,1597791217
111,Cape Town,-33.93,18.42,53.01,75,40,3.36,ZA,1597790928
112,Lethem,3.38,-59.8,78.8,83,100,6.53,GY,1597791221
113,Bjørkelangen,59.88,11.57,62.01,79,26,2.73,NO,1597791222
114,Orapa,-21.28,25.37,53.2,36,0,16.91,BW,1597791223
115,Nouadhibou,20.93,-17.03,71.6,83,0,18.34,MR,1597791224
116,Souillac,-20.52,57.52,71.6,73,40,14.99,MU,1597791225
117,Finschhafen,-6.6,147.87,78.49,82,59,7.7,PG,1597791226
118,Saint Anthony,45.02,-93.22,81.0,41,1,4.7,US,1597791228
119,Bac Lieu,9.29,105.72,79.77,83,100,7.23,VN,1597791002
120,Zaozyornoye,45.16,33.28,71.1,64,0,2.89,UA,1597791230
121,Lorengau,-2.02,147.27,83.16,77,49,8.1,PG,1597791231
122,Saint-Philippe,-21.36,55.77,64.4,77,20,4.7,RE,1597791232
123,Hyères,43.12,6.12,78.8,50,5,9.17,FR,1597791092
124,Chapaevsk,52.98,49.71,53.6,81,34,6.71,RU,1597791234
125,Ormara,25.21,64.64,82.87,85,100,9.84,PK,1597791236
126,Namatanai,-3.67,152.43,82.35,72,4,9.01,PG,1597791237
127,Paita,-5.09,-81.11,63.86,78,100,19.95,PE,1597791238
128,Necochea,-38.55,-58.74,39.99,44,60,5.99,AR,1597791239
129,Saldanha,-33.01,17.94,44.6,75,76,3.36,ZA,1597790943
130,Shimoda,34.67,138.95,79.0,84,78,7.94,JP,1597791241
131,Barra de Tecoanapa,16.52,-98.75,84.29,75,60,13.13,MX,1597791242
132,Nānākuli,21.39,-158.15,87.8,48,75,8.05,US,1597791243
133,Aklavik,68.22,-135.01,62.6,59,40,10.29,CA,1597791246
134,Hambantota,6.12,81.12,79.02,82,83,14.65,LK,1597791247
135,Merritt Island,28.54,-80.67,78.8,94,75,5.82,US,1597791248
136,Cherskiy,68.75,161.3,43.02,91,99,6.69,RU,1597791249
137,Saint George,37.1,-113.58,111.0,9,1,8.05,US,1597791213
138,George Town,5.41,100.34,80.6,94,20,2.24,MY,1597791220
139,Gornopravdinsk,60.05,69.9,50.27,95,85,3.15,RU,1597791252
140,Marsabit,2.33,37.99,62.89,92,65,18.28,KE,1597791253
141,Ibrā’,22.69,58.53,87.35,53,100,3.83,OM,1597791255
142,Taman',45.21,36.72,66.2,77,0,4.47,RU,1597791256
143,Iqaluit,63.75,-68.51,44.6,81,75,18.34,CA,1597791257
144,Akdepe,42.06,59.38,66.2,63,0,4.7,TM,1597791258
145,San Juan,-31.54,-68.54,57.13,36,23,16.89,AR,1597791259
146,Peterhead,57.51,-1.8,59.0,100,75,2.24,GB,1597791260
147,Usinsk,65.99,57.53,53.06,88,94,11.12,RU,1597791261
148,Natal,-5.79,-35.21,77.0,83,75,9.17,BR,1597791262
149,Klaksvík,62.23,-6.59,50.0,87,100,1.12,FO,1597791264
150,Viedma,-40.81,-63.0,42.01,63,51,5.99,AR,1597791263
151,Bukama,-9.2,25.85,69.96,27,4,2.35,CD,1597791266
152,Xining,36.62,101.77,49.24,72,20,1.74,CN,1597791052
153,Husavik,66.04,-17.34,50.0,81,90,12.75,IS,1597791268
154,Alofi,-19.06,-169.92,77.0,88,75,14.99,NU,1597791244
155,San Patricio,19.22,-104.7,77.0,100,90,5.82,MX,1597791271
156,Vanino,49.09,140.25,69.15,79,99,6.38,RU,1597791104
157,Margate,51.38,1.39,68.0,83,0,1.99,GB,1597791273
158,Sinnamary,5.38,-52.95,79.11,83,0,8.55,GF,1597791274
159,Russell,32.35,-85.2,93.2,38,1,8.05,US,1597790988
160,Ambon City,-3.7,128.18,73.99,17,58,8.72,ID,1597791276
161,Nikolskoye,59.7,30.79,54.0,76,18,4.47,RU,1597791277
162,Camaná,-16.62,-72.71,58.84,73,86,6.98,PE,1597791279
163,Grindavik,63.84,-22.43,51.8,93,75,9.17,IS,1597791280
164,Oskaloosa,41.3,-92.64,80.6,39,1,5.82,US,1597791281
165,Palenque/Temp,17.52,-91.97,81.82,86,100,2.17,MX,1597791282
166,Kang,-23.68,22.79,37.63,62,0,9.35,BW,1597791283
167,Crotone,39.09,17.12,79.43,53,11,7.25,IT,1597791285
168,Umm Kaddadah,13.6,26.69,81.73,60,99,5.88,SD,1597791254
169,Arcata,40.87,-124.08,71.01,82,40,8.05,US,1597791287
170,Ancud,-41.87,-73.82,43.0,80,20,4.7,CL,1597791288
171,Ilo,-17.64,-71.34,58.37,75,77,4.9,PE,1597791289
172,Lagoa,39.05,-27.98,71.51,92,37,24.29,PT,1597791291
173,Cuamba,-14.8,36.54,68.74,44,43,3.56,MZ,1597791292
174,Kutum,14.2,24.67,75.99,60,73,8.97,SD,1597791293
175,Río Gallegos,-51.62,-69.22,33.8,64,40,12.75,AR,1597791294
176,Eureka,40.8,-124.16,71.01,39,89,8.3,US,1597791127
177,Cockburn Town,21.46,-71.14,83.84,81,2,17.2,TC,1597791131
178,Broome,42.25,-75.83,75.0,40,1,6.93,US,1597791297
179,Paliā Kalān,28.45,80.58,78.55,95,100,6.98,IN,1597791299
180,Marzuq,14.4,46.47,84.43,46,87,6.44,YE,1597791300
181,Synya,65.37,58.04,48.85,97,92,0.81,RU,1597791301
182,Port Moresby,-9.44,147.18,75.2,83,5,3.36,PG,1597791302
183,Impfondo,1.64,18.07,73.78,86,69,1.88,CG,1597791303
184,Frontera,26.93,-101.45,89.94,35,100,11.54,MX,1597791304
185,Itarema,-2.92,-39.92,78.28,73,42,17.31,BR,1597791305
186,Nome,64.5,-165.41,71.01,48,1,5.82,US,1597791307
187,Durusu,41.31,28.68,75.0,73,40,10.29,TR,1597791308
188,Domoni,-12.26,44.53,75.65,74,75,0.98,KM,1597791309
189,Leningradskiy,69.38,178.42,50.38,49,5,5.55,RU,1597791261
190,Arroio Grande,-32.24,-53.09,55.6,95,96,3.49,BR,1597791311
191,Tasiilaq,65.61,-37.64,46.4,75,51,6.93,GL,1597791268
192,Novikovo,51.15,37.89,64.56,72,26,1.92,RU,1597791313
193,Zaysan,47.47,84.87,60.58,54,27,9.01,KZ,1597791314
194,Esim,4.87,-2.24,75.29,87,45,9.95,GH,1597791316
195,Zambezi,-13.54,23.1,62.2,29,0,4.92,ZM,1597791317
196,College,64.86,-147.8,72.0,40,40,3.36,US,1597791318
197,Priiskovyy,51.93,116.63,51.8,75,0,2.48,RU,1597791319
198,Eucaliptus,-17.58,-67.52,49.62,41,12,18.16,BO,1597791320
199,Port-Gentil,-0.72,8.78,75.2,94,90,15.88,GA,1597791321
200,Sandwick,60.0,-1.25,57.2,100,77,5.82,GB,1597791323
201,Erzin,36.96,36.2,80.01,84,0,0.87,TR,1597791324
202,Vardø,70.37,31.11,50.0,87,91,18.34,NO,1597791325
203,Mar del Plata,-38.0,-57.56,46.4,65,98,9.17,AR,1597791202
204,General Pico,-35.66,-63.76,48.29,47,59,10.76,AR,1597791327
205,Santa Maria,-29.68,-53.81,66.2,88,75,2.24,BR,1597791329
206,Butaritari,3.07,172.79,83.44,70,1,10.83,KI,1597791227
207,Bethel,41.37,-73.41,81.0,39,1,6.93,US,1597791331
208,Dali,25.7,100.18,56.23,89,100,5.53,CN,1597791332
209,Boca do Acre,-8.75,-67.4,88.27,41,44,2.59,BR,1597791333
210,Inírida,3.87,-67.92,76.93,87,88,1.88,CO,1597791334
211,Antofagasta,-23.65,-70.4,57.2,67,40,12.75,CL,1597791317
212,Sackville,45.92,-64.38,70.0,88,75,3.36,CA,1597791336
213,Los Llanos de Aridane,28.66,-17.92,73.4,78,0,12.75,ES,1597791159
214,Cabo San Lucas,22.89,-109.91,87.01,58,40,11.41,MX,1597791339
215,Nanortalik,60.14,-45.24,49.78,65,0,6.58,GL,1597791336
216,Airai,-8.93,125.41,60.6,59,78,2.15,TL,1597791341
217,Ambovombe,-25.17,46.08,67.23,70,0,8.52,MG,1597791342
218,Constitución,-35.33,-72.42,49.03,74,97,10.2,CL,1597791336
219,Planeta Rica,8.41,-75.59,87.8,70,75,3.36,CO,1597791161
220,Cidreira,-30.18,-50.21,62.19,96,100,10.94,BR,1597791346
221,Kitsuki,33.42,131.62,80.6,69,71,3.36,JP,1597791347
222,Rawlins,41.79,-107.24,91.99,10,1,5.82,US,1597791348
223,Mackay,-21.15,149.2,73.0,77,0,13.87,AU,1597791349
224,Mount Isa,-20.73,139.5,68.0,32,2,3.36,AU,1597791350
225,Ol'ga,43.74,135.29,79.21,78,0,3.49,RU,1597791351
226,Waipawa,-41.41,175.52,57.2,67,100,8.05,NZ,1597791353
227,Xinpu,34.6,119.16,79.72,91,1,6.26,CN,1597791355
228,Zhuanghe,39.7,122.99,77.94,93,65,6.29,CN,1597791356
229,Codrington,-38.27,141.97,48.45,92,100,7.49,AU,1597791279
230,Kiruna,67.86,20.23,41.0,93,45,3.36,SE,1597791288
231,Ostrovnoy,68.05,39.51,44.67,78,0,7.7,RU,1597791359
232,La Santisima Trinidad,-14.83,-64.9,89.44,27,4,5.21,BO,1597791360
233,Faanui,-16.48,-151.75,77.95,77,1,20.74,PF,1597791361
234,Thohoyandou,-22.95,30.48,63.82,42,0,2.62,ZA,1597791363
235,Jinchang,38.5,102.17,65.8,45,17,2.66,CN,1597791364
236,Kahului,20.89,-156.47,89.6,46,40,23.04,US,1597791365
237,Palmer,42.16,-72.33,82.4,32,40,10.29,US,1597791306
238,Meulaboh,4.14,96.13,77.68,83,100,4.03,ID,1597791367
239,Bilibino,68.05,166.44,47.32,64,100,5.21,RU,1597791368
240,Diego de Almagro,-26.37,-70.05,43.54,73,0,2.73,CL,1597791370
241,Arraial do Cabo,-22.97,-42.03,73.4,88,87,16.11,BR,1597791235
242,Rawson,-43.3,-65.1,39.76,70,86,25.55,AR,1597791372
243,Belyy,55.84,32.94,53.55,82,97,2.77,RU,1597791373
244,Turukhansk,65.82,87.98,56.26,59,19,11.39,RU,1597791374
245,Qui Nhon,13.77,109.23,78.03,82,77,5.99,VN,1597791263
246,Kandi,11.13,2.94,74.66,91,19,4.03,BJ,1597791376
247,Bonavista,48.65,-53.11,59.0,85,100,10.0,CA,1597791378
248,Saint-Louis,16.33,-15.0,87.8,70,8,2.24,SN,1597791379
249,Kiryat Gat,31.61,34.76,77.0,77,0,2.68,IL,1597791380
250,Khudumelapye,-23.88,24.75,40.28,56,0,10.36,BW,1597791381
251,Moranbah,-22.0,148.05,70.16,55,0,20.02,AU,1597791382
252,Lata,40.16,-8.33,69.01,94,75,3.36,PT,1597791384
253,Irbit,57.67,63.07,49.24,97,92,4.88,RU,1597791385
254,Bereda,43.27,-7.54,66.0,83,94,13.0,ES,1597791386
255,Maridi,4.92,29.47,67.93,98,96,3.96,SS,1597791387
256,Arkhara,49.42,130.08,53.65,71,20,8.84,RU,1597791388
257,Mari-Turek,56.79,49.62,42.84,87,13,8.7,RU,1597791389
258,Sarankhola,22.31,89.79,79.09,92,99,2.64,BD,1597791391
259,Ligayan,4.65,119.47,83.7,67,97,1.9,PH,1597791392
260,Paamiut,61.99,-49.67,47.12,71,0,3.67,GL,1597791393
261,Narsaq,60.92,-46.05,57.2,47,0,6.93,GL,1597791353
262,Bitung,1.45,125.18,75.2,78,20,1.12,ID,1597791395
263,Faya,18.39,42.45,73.4,64,70,5.82,SA,1597791396
264,Savé,8.04,2.49,74.41,83,73,6.64,BJ,1597791397
265,Ilulissat,69.22,-51.1,53.6,40,96,3.36,GL,1597791398
266,Beloha,-25.17,45.05,66.45,57,6,7.34,MG,1597791399
267,Talnakh,69.49,88.4,55.4,62,2,4.47,RU,1597791263
268,Bathsheba,13.22,-59.52,80.6,83,75,18.34,BB,1597791263
269,Wana,32.3,69.57,83.26,52,40,1.41,PK,1597791403
270,New Glasgow,45.58,-62.65,66.99,91,48,1.99,CA,1597791404
271,Pachino,36.72,15.09,80.01,79,0,9.26,IT,1597791405
272,Plettenberg Bay,-34.05,23.37,51.46,76,94,16.22,ZA,1597791406
273,Mount Gambier,-37.83,140.77,46.4,100,75,10.29,AU,1597791297
274,Jablah,35.36,35.93,77.0,78,20,6.93,SY,1597791408
275,Gwadar,25.12,62.33,82.42,81,83,5.77,PK,1597791409
276,Champerico,14.3,-91.92,87.8,62,75,6.93,GT,1597791411
277,Vao,-22.67,167.48,68.56,60,41,8.19,NC,1597791263
278,San Quintín,30.48,-115.95,82.27,58,3,8.01,MX,1597791413
279,Ardee,53.86,-6.54,63.0,89,38,1.01,IE,1597791414
280,Klyuchi,52.27,79.17,59.49,65,60,7.65,RU,1597791415
281,Balakhninskiy,58.01,114.28,52.65,63,0,1.99,RU,1597791416
282,Tūkrah,32.53,20.58,75.4,86,0,1.92,LY,1597791417
283,North Bend,43.41,-124.22,78.01,60,1,16.11,US,1597791419
284,Poum,-20.23,164.02,69.76,67,13,7.74,NC,1597791420
285,Castaños,26.78,-101.42,86.61,38,100,9.95,MX,1597791421
286,Chanika,-5.42,38.02,63.01,95,84,1.5,TZ,1597791422
287,Port Blair,11.67,92.75,82.22,79,100,14.9,IN,1597791423
288,Aykhal,66.0,111.5,48.2,93,90,6.71,RU,1597791424
289,Ilanskiy,56.24,96.06,55.65,89,37,2.62,RU,1597791426
290,Slave Lake,55.28,-114.77,86.0,37,1,11.41,CA,1597791427
291,Kavaratti,10.57,72.64,81.43,80,100,10.49,IN,1597791428
292,Anadyr,64.75,177.48,53.01,76,40,4.47,RU,1597791429
293,Nantucket,41.28,-70.1,71.6,83,1,12.75,US,1597791374
294,Avera,33.19,-82.53,77.0,50,40,5.82,US,1597791431
295,Tessalit,20.2,1.01,95.72,15,0,12.37,ML,1597791432
296,Vestmannaeyjar,63.44,-20.27,52.57,88,58,19.84,IS,1597791433
297,Cayenne,4.93,-52.33,80.6,83,0,2.24,GF,1597791435
298,City of Bislig,8.22,126.28,73.54,92,100,3.76,PH,1597791436
299,Rundu,-17.93,19.77,55.11,33,0,10.33,NA,1597791437
300,Sisimiut,66.94,-53.67,54.79,60,44,3.4,GL,1597791330
301,Madīnat Sittah Uktūbar,29.82,31.05,77.0,73,0,10.29,EG,1597791439
302,Buala,-8.14,159.59,84.15,70,97,4.63,SB,1597791379
303,Hamilton,39.18,-84.53,69.8,83,75,3.36,US,1597791283
304,Severo-Kuril'sk,50.68,156.12,51.75,87,97,13.2,RU,1597791240
305,Lumeje,-11.55,20.78,66.36,25,0,6.89,AO,1597791443
306,Glendive,47.11,-104.71,100.99,14,1,10.29,US,1597791444
307,Ribeira Grande,38.52,-28.7,73.08,91,54,23.06,PT,1597791446
308,Florø,61.6,5.03,64.4,88,0,6.93,NO,1597791447
309,Debre Tabor,11.85,38.02,51.98,97,100,1.23,ET,1597791448
310,San Rafael,-34.62,-68.33,49.8,49,51,10.74,AR,1597791449
311,Fort-Shevchenko,44.51,50.26,73.69,69,0,8.48,KZ,1597791450
312,Lakatoro,-16.1,167.42,78.8,74,75,5.82,VU,1597791451
313,Adré,13.47,22.2,74.97,81,100,2.06,TD,1597791452
314,Batemans Bay,-35.72,150.18,61.0,53,0,8.32,AU,1597791453
315,Okhotsk,59.38,143.3,54.09,84,100,11.12,RU,1597791454
316,Paine,-33.82,-70.75,50.0,81,90,5.82,CL,1597791455
317,Tweed,44.48,-77.32,68.0,82,11,3.94,CA,1597791457
318,Imeni Poliny Osipenko,52.42,136.49,55.9,85,59,5.66,RU,1597791458
319,Bandarbeyla,9.49,50.81,77.38,77,83,30.24,SO,1597791459
320,Lajedo,-8.66,-36.32,62.74,97,53,8.86,BR,1597791460
321,Wanaka,-44.7,169.15,44.4,82,100,2.77,NZ,1597791461
322,Hasaki,35.73,140.83,82.0,88,75,4.7,JP,1597791462
323,Ponta Delgada,37.73,-25.67,75.2,94,75,24.16,PT,1597791217
324,Tuatapere,-46.13,167.68,53.42,72,100,6.33,NZ,1597791464
325,Bethanien,-26.5,17.16,37.92,68,10,4.56,NA,1597791466
326,Kudahuvadhoo,2.67,72.89,82.33,68,59,5.46,MV,1597791425
327,Puntarenas,9.98,-84.84,71.6,100,75,9.17,CR,1597791280
328,Tanout,14.97,8.89,88.79,38,48,11.25,NE,1597791469
329,Raja,8.46,25.68,70.56,95,76,5.12,SS,1597791470
330,Saint-Joseph,-21.37,55.62,64.4,77,20,4.7,RE,1597791471
331,Coyhaique,-45.58,-72.07,37.4,51,20,1.88,CL,1597791472
332,Bandundu Province,-3.32,17.37,82.67,55,13,3.69,CD,1597791305
333,Kaffrine,14.11,-15.55,82.4,88,20,6.93,SN,1597791474
334,Banda Aceh,5.56,95.32,79.32,77,92,5.41,ID,1597791475
335,Eilat,29.56,34.95,89.6,52,2,13.87,IL,1597791478
336,Rio Grande,-32.03,-52.1,54.0,95,77,2.39,BR,1597791464
337,Boguchany,58.38,97.45,54.3,75,77,3.91,RU,1597791480
338,Brekstad,63.69,9.67,63.0,93,35,4.7,NO,1597791481
339,Laja,-37.27,-72.7,50.0,81,75,8.05,CL,1597791482
340,Samarai,-10.62,150.67,75.85,63,100,7.29,PG,1597791483
341,Verkh-Usugli,52.7,115.17,50.05,77,1,1.28,RU,1597791484
342,Mortka,59.33,66.02,51.85,97,98,2.17,RU,1597791485
343,Severnoye,56.35,78.36,49.73,93,18,7.52,RU,1597791486
344,Maniitsoq,65.42,-52.9,54.68,60,0,3.98,GL,1597791418
345,Fort Nelson,58.81,-122.7,60.8,93,90,4.7,CA,1597791295
346,Omboué,-1.57,9.26,74.79,87,94,11.45,GA,1597791490
347,Shahr-e Kord,32.33,50.86,69.8,32,0,6.93,IR,1597791491
348,Chokurdakh,70.63,147.92,38.41,83,88,9.26,RU,1597791492
349,Yatou,37.15,122.38,78.98,94,66,9.4,CN,1597791493
350,Moyo,3.66,31.72,66.85,100,100,1.45,UG,1597791494
351,Portland,45.52,-122.68,86.0,44,20,8.05,US,1597791359
352,Severodvinsk,64.56,39.83,35.6,100,0,6.35,RU,1597791496
353,Jaciara,-15.97,-54.97,82.22,21,0,3.11,BR,1597791497
354,Karlstad,59.38,13.5,64.0,93,97,3.18,SE,1597791498
355,São João da Barra,-21.64,-41.05,74.23,77,29,24.36,BR,1597791242
356,Kiunga,-6.12,141.29,74.57,85,46,2.91,PG,1597791501
357,Tabas,33.6,56.92,93.2,15,0,6.93,IR,1597791502
358,Praia da Vitória,38.73,-27.07,75.2,94,75,16.31,PT,1597791219
359,Moyale,3.52,39.06,69.28,74,93,15.01,KE,1597791284
360,Aripuanã,-9.17,-60.63,84.94,27,0,0.98,BR,1597791506
361,Harbour Breton,47.48,-55.8,61.0,100,100,7.0,CA,1597791507
362,Grenville,12.12,-61.62,84.2,79,75,13.87,GD,1597791508
363,Zhangjiakou,40.81,114.88,64.24,73,100,1.92,CN,1597791509
364,Galesong,-5.32,119.37,69.8,88,20,2.24,ID,1597791511
365,Keminmaa,65.86,24.82,44.6,93,0,6.93,FI,1597791512
366,Esperance,-33.87,121.9,44.6,100,40,12.75,AU,1597791266
367,The Valley,18.22,-63.06,86.0,66,20,11.41,AI,1597791514
368,Sur,22.57,59.53,84.83,67,91,10.78,OM,1597791515
369,Santa Cruz de la Sierra,-17.8,-63.17,75.2,88,75,11.41,BO,1597791516
370,Porto Nacional,-10.71,-48.42,86.0,45,15,2.24,BR,1597791517
371,Escanaba,45.75,-87.06,69.8,43,1,10.29,US,1597791518
372,Murgab,37.5,61.97,71.6,53,0,6.93,TM,1597791519
373,Askiz,53.13,90.53,61.09,82,100,8.48,RU,1597791521
